gps_accuracy,gps_heading,gps_speed,gps_datetime,gps_lat,gps_lon
20,0,0,2019-06-15T14:42:42Z,40.80709,-73.91294
44,287,2.23694,2019-06-15T14:44:50Z,40.80895,-73.91227
18,0,0,2019-06-15T14:45:02Z,40.80919,-73.91233
15,335,2.23694,2019-06-15T14:46:07Z,40.80957,-73.91318
17,0,0,2019-06-15T14:46:31Z,40.80985,-73.91332
15,270,2.23694,2019-06-15T14:47:03Z,40.81003,-73.91365
18,281,2.23694,2019-06-15T14:47:59Z,40.81035,-73.91453
15,286,0,2019-06-15T14:48:37Z,40.81031,-73.9149
20,22,4.47388,2019-06-15T14:50:16Z,40.81147,-73.91448
21,355,2.23694,2019-06-15T14:50:36Z,40.81159,-73.91457
17,22,4.47388,2019-06-15T14:51:33Z,40.81204,-73.91404
18,5,2.23694,2019-06-15T14:53:38Z,40.81358,-73.91326
23,287,4.47388,2019-06-15T14:54:31Z,40.81374,-73.91359
17,262,4.47388,2019-06-15T14:54:55Z,40.81365,-73.91397
20,315,2.23694,2019-06-15T14:56:17Z,40.81409,-73.91522
17,343,2.23694,2019-06-15T14:56:46Z,40.81431,-73.91531
20,98,2.23694,2019-06-15T14:57:45Z,40.81483,-73.91501
18,280,2.23694,2019-06-15T14:58:46Z,40.81504,-73.91564
